Stock Code,Company,Update time,Author,Texts,Read,Comments,情绪得分,URL
002594,比亚迪,2024/4/8 23:56,专注于研究人性,比亚迪2016年销售额1039亿，同比增长29.95%。比亚迪2017年销售额1,3541,8,5.5,https://caifuhao.eastmoney.com/news/20240407193724532560300?from=guba&name=5q%2BU5Lqa6L%2Bq5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCwwMDI1OTRfNS5odG1s
002594,比亚迪,2024/4/8 21:58,专业唱空专家,249.99的成本这月能解套嘛,399,2,3,"https://guba.eastmoney.com/news,002594,1415371055.html"
002594,比亚迪,2024/4/8 21:11,sdsy_思道书赢,比亚迪超特斯拉，10万亿市值不是梦！拭目以待！,163,1,7,"https://guba.eastmoney.com/news,002594,1415128387.html"
002594,比亚迪,2024/4/8 21:10,盖世汽车,E周看点 | 比亚迪3月销量突破30万辆；特斯拉Q1交付量惨遭滑铁卢,277,0,5.5,https://caifuhao.eastmoney.com/news/20240408211023137229190?from=guba&name=5q%2BU5Lqa6L%2Bq5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCwwMDI1OTRfNi5odG1s
002594,比亚迪,2024/4/8 20:36,股友31d2r62322,同壁财经4小时前雷神科技再推新款银翼显示器，反响热烈首发售罄在近期举办的2024,1129,0,6.5,https://caifuhao.eastmoney.com/news/20240319162334766621830?from=guba&name=5q%2BU5Lqa6L%2Bq5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCwwMDI1OTRfNi5odG1s
002594,比亚迪,2024/4/8 20:35,股友31d2r62322,首批售罄再掀抢购热潮，雷神科技新品上市引领行业趋势同壁财经2小时前专业财经信息内,1989,1,6,https://caifuhao.eastmoney.com/news/20240129172806025319550?from=guba&name=5q%2BU5Lqa6L%2Bq5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCwwMDI1OTRfNi5odG1s
002594,比亚迪,2024/4/8 20:35,东财ETF,【重磅】6月钠离子电池上两轮车，8月第二代刀片电池或上线……比亚迪在下一盘大棋？,312,0,5,https://caifuhao.eastmoney.com/news/20240408163519658013420?from=guba&name=5q%2BU5Lqa6L%2Bq5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCwwMDI1OTRfNi5odG1s
002594,比亚迪,2024/4/8 20:27,春暖花开兔摇号,震惊全球的比亚迪五代DM-i技术大揭秘！3-25,4199,43,8,https://caifuhao.eastmoney.com/news/20240324055145199827010?from=guba&name=5q%2BU5Lqa6L%2Bq5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCwwMDI1OTRfNi5odG1s
002594,比亚迪,2024/4/8 19:37,大咖演播厅,雷军：特地给SU7加了两个键，专门用来给朋友嘚瑟,8301,10,6,https://caifuhao.eastmoney.com/news/20240407153849867227770
002594,比亚迪,2024/4/8 19:31,雪山飞狐4,比亚迪以后的日子会越来越难了，新秀倍出！特别是小米多款新品隆重登场，新款车型续航,3627,79,5,"https://guba.eastmoney.com/news,002594,1412865036.html"
