Stock Code,Company,Update time,Author,Texts,Likes,Comments,情绪得分,URL
300750,宁德时代,2024/4/8 22:34, 围棋投研,每天跟踪下重要事件，不一定全，欢迎补充。1.SNE Research：LG新能源2月共销售了12.7吉瓦时的电动汽车电池，占全球市场的13.7%。宁德时代以38.4%的市场份额依然排名第一，比亚迪下滑至第三位，市场份额为13.1%。2.智己汽车旗下全新纯电动中型轿车L6开启预售，官方指导价格为不超过23-不超过33万元，其中1000km固态电池光年版为不超过33万元。3.上汽集团3月份销售整车38.1万辆，同比增长8.4%；上汽新能源汽车销量8.5万辆，同比增长30%。4.丰田与中国五矿就车载动力电池梯次利用和资源循环业务达成合作。5.工程机械工业协会：对挖掘机主要制造企业统计，3月销售各类挖掘机24980台，同比下降2.34%，其中国内15188台，同比增长9.27%；出口9792台，同比下降16.2%。6.协鑫光电叠层组件，“效率、尺寸”再一次双双打破世界纪录，实现1.71㎡、稳态效率26.36%。/点评：前几天好像有位球友问过我关于比亚迪电池份额的问题，其实关键就是看比亚迪新能源车占比，当然后面还有个看点就是小米标准版的放量情况，我自己还是会笃定于宁德的产业地位。说到宁德，智己L6为何受关注，本质就是固态电池（第一代准确地说应该是半固态电池）对宁德可能形成冲击。发布会倒没有具体聊，只说12分钟续航即可增加400km（好像不如宁德神行的10分钟400km），CLTC续航达1000+km，有点失望。近期各个实验室或车企都在聊固态电池，但唯有龙头宁德时代很谨慎。我想曾老板自己研究了十多年固态电池，同时还有不断迭代的电池产品和忠诚客户，不至于会落后于其他厂商，不去聊肯定是还不够成熟或商业化。这块就耐心等待吧，先等智己L6正式上市后看看车主实测，现在多讨论也没啥意义。挖机数据是单月维度，看起来国内同比恢复还不错。如果是看1-3月累计数据，国内外都是下降，但国内下降幅度明显更少，其中3月带来积极因素较强。能不能持续还要观察，市场似乎对徐工和柳工更乐观，我倒是宁愿跟踪下被忽视的三一。/   ,5,5,5,https://xueqiu.com/3199838879/285167308
300750,宁德时代,2024/4/8 22:25, 闷得而蜜,很多粉丝问我，对新能源、固态电池、锂电这些行业怎么看。好久没聊了，今天简单说说吧。1、上半场是电动化，下半场是智能化。2、在大模型没有出来前，汽车的智能化路还非常漫长，那么就意味着大家还可以继续在上半场多踢踢球。但是，去年大模型出来后，自动驾驶就迅速从梦想回到了现实中，Tesla率先完成了算法的切换，新版本体现出来惊人的学习和模仿能力。3、所以，大模型吹停了上半场的口令，不管你是否愿意看到，接下来，电动车的主场将进入智能化的下半场。小米汽车很可能是最后一个按照上半场规则走上舞台的车企。以后再有企业开这种发布会，就会严重掉价。4、在上半场内卷的时候，续航、充电速度等等都是卷的话术，再怎么折腾其实都不解决问题，问题都在基础设施那边，为卷而生而已。我自动驾驶能力甩你一条街，订单就会排几公里。在下半场，在强大的智能驾驶差异化面前，锂电池的里程多一点少一点、充电时间多一点少一点（也很重要，但不是主角），就不关键了，你把成本降下来，把安全性提上去就可以了。最为关键的是，锂电池把我各个车型的续航都低成本跑上去，我好普及智能驾驶。5、所以，神行电池来得真是时候。而固态电池呢，怎么看都不对劲，好像是那种球赛已经结束，但有个球迷恋恋不舍还在球场死劲呐喊。一个新能源投资的老人，不成熟的一点看法，看错的概率更大。,0,1,5,https://xueqiu.com/5672579962/285166236
300750,宁德时代,2024/4/8 22:22, 田野的稻草人,保持理性与警惕，耐心观察市场大盘今日全天震荡下跌，创业板跌幅较大，已经逼近1800点整数关口，午后汽车运营股异动明显，工程机械、食品加工板块逆势上涨，贵金属、电力行业、珠宝首饰等表现出色，工程咨询服务、电子化学品、装修建材、光伏设备等板块位于跌幅榜前列，北向资金全天净卖出30.45亿元，从日K线来看，上证指数已失守5日均线，并向前期遗留的向上跳空缺口进行支撑试探，MACD指标未能低位实现金叉，反而继续空头发散，指标修复还需跟踪观察，后市注意缺口的支撑情况，如果放量跌漏了，接下来的行情走势不宜乐观。创业板指则走的更弱，随着成交量的不断萎缩，说明恐慌性抛盘在减少，在未止跌企稳之前，还是多以观察为主。市场在三连阴之后，建议保持理性与警惕，耐心观察市场，再做出应对的决定。 ,0,0,5,https://xueqiu.com/3387778305/285165884
300750,宁德时代,2024/4/8 21:54, 国之良栋,明天4月9日15:00新浪微博直播开启,0,0,5.5,https://xueqiu.com/6195253215/285162513
300750,宁德时代,2024/4/8 21:33, 布袋2,从智己l6光年版的价格来看，半固态电池不比液态电池贵多少，考虑到固态电池性能上的优势，这个价格对液态电池是吊打，现在困扰固态电池的就是产能问题了，液态电池被淘汰也就是三、四年的时间。解决了自燃的安全性问题，电车取代油车的速度会加速，预计到2030年，电车的销量要超过油车。,0,0,6.5,https://xueqiu.com/3685567226/285159736
300750,宁德时代,2024/4/8 21:22, 风过无痕的小屋,现在最麻烦的就是存量博弈的极端抱团风格。大盘在三千点震荡，上不去，又被超级权重托着在三千点下不来。但是很多个股都是腰斩再腰斩甚至再腰斩之后，调整到了前低。这种极端的风格在春节前就出现过一次。一旦超级权重把市场的资金虹吸抽干了、涨不上去了，稍微一调整就会带动大盘向下调整。而四千个股破了新低下降趋势中，被动的的跟随大盘调整，一旦被虹吸抽干了流动性，很容易就会形成多杀多的流动性杀跌。希望这样的情形不要再出现第二次。极端抱团的风格如果一直持续，很容易就会出现开年那样的流动性杀跌。可悲的是，机构这些年除了抱团高位股，什么都不会，狗改不了吃屎。,2,0,3,https://xueqiu.com/7432376168/285158077
300750,宁德时代,2024/4/8 20:33, 奕生,北向还在净买入,2,2,5.5,https://xueqiu.com/3255066438/285152782
300750,宁德时代,2024/4/8 20:12, 慧选牛牛,时间轴整理总表20240408慧选牛牛——投资日历，影响板块，热度标签，为你投资打开全新日历，历历在目，举重若轻。,0,0,5,https://xueqiu.com/7774557954/285150664
300750,宁德时代,2024/4/8 19:58, IPO是为了退出,我以前在这公司呆了三年，虽然我不觉得它以后还有什么超额收益，但是它绝对是一家90分的好公司,0,4,7.5,https://xueqiu.com/5013067288/285149173
300750,宁德时代,2024/4/8 19:27, 别撩我,去年今日此门中，人面桃花相映红。人面不知何处去，桃花依旧笑春风。,0,0,5,https://xueqiu.com/5638191218/285145849
300750,宁德时代,2024/4/8 19:12, 炒股见人性_慢慢来,今天宁王正常调整，五粮液杀的有点任性，收盘一看，北水淡定的很，持续买买买。而对迪子，北水减了，事实上我也在212减了一手，应该是切入爱美客了。和北水保持一致的思路，让我深感荣幸。160的五粮液，200的宁王，还需要很久吗？,7,12,5,https://xueqiu.com/4093701404/285144119
